id, name, total_movies
65605,Muhammad Ali,15
8349,Martin Sheen,21
11367,Bradley Whitford,2
31028,Richard Schiff,3
1117313,John David Washington,4
1853909,Danielle Deadwyler,3
138,Quentin Tarantino,14
1364128,Gabriel Pérez,2
8297,Roger Avary,1
2885783,Diriki Mack,2
61010,LaTanya Richardson Jackson,1
1113173,Linda Jones Clough,1
2021317,Chris Connelly,1
4600,Joe Dante,11
1021364,Joseph Campbell,1
553222,Bill Moyers,5
1032,Martin Scorsese,22
130,Kenny Baker,9
33185,Jeremy Bulloch,3
670,Ben Burtt,8
71538,Dave Filoni,1
3993,Dennis Muren,3
1006721,Charles Scorsese,3
11483,Catherine Scorsese,4
11770,John Carpenter,12
515,Glenn Close,9
349,Scott Glenn,4
4,Carrie Fisher,7
3799,Billy Dee Williams,8
24343,Peter Mayhew,7
2,Mark Hamill,28
5026,Akira Kurosawa,5
132305,Nobuhiko Obayashi,2
18598,Ishirō Honda,2
3,Harrison Ford,14
4908582,Dani States,1
8256,Anne Heche,2
13268,Rod Serling,5
70985,Gig Young,3
6838,Frank Overton,2
73022,Robert Culp,5
4141507,Earl Hagan,1
41750,Sheldon Leonard,2
928545,Rivers Cuomo,5
1645418,Patrick Wilson,3
1161962,Brian Bell,5
15153,Wendell Wellman,1
61824,Mick Garris,6
262055,Robert Meyer Burnett,1
